OBJECTID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,Shape__Area,Shape__Length,ERCOT_Weather_Region
33,1,31,Cameron,Pharr,31,48061,31,21,Y,Y,Y,,,,,,3283295580,795165.0861,Southern
34,2,245,Willacy,Pharr,245,48489,245,21,N,N,N,,,,,,2150335757,387176.6546,Southern
35,3,214,Starr,Pharr,214,48427,214,21,N,N,N,,,,,,3997022788,302727.6627,Southern
36,4,108,Hidalgo,Pharr,108,48215,109,21,Y,Y,Y,,,,,,5130448047,391415.1894,Southern
37,5,24,Brooks,Pharr,24,48047,24,21,N,N,N,,,,,,3092756826,242044.0273,Southern
38,6,131,Kenedy,Pharr,131,48261,66,21,N,N,N,,,,,,5413622253,608290.2512,Southern
39,7,253,Zapata,Pharr,253,48505,253,21,N,N,N,,,,,,3466109335,268067.333,Southern
40,8,124,Jim Hogg,Pharr,124,48247,125,21,N,N,N,,,,,,3723550397,269125.4957,Southern
41,9,137,Kleberg,Corpus Christi,137,48273,137,16,N,N,N,,,,,,2985854276,526212.6634,Southern
42,10,178,Nueces,Corpus Christi,178,48355,178,16,Y,Y,Y,,,,,,2848141434,1104632.261,Southern
43,11,66,Duval,Laredo,66,48131,67,22,N,N,N,,,,,,5953917697,331773.3415,Southern
44,12,125,Jim Wells,Corpus Christi,125,48249,126,16,N,N,N,,,,,,2881682243,292725.5182,Southern
45,13,205,San Patricio,Corpus Christi,205,48409,205,16,Y,Y,Y,,,,,,2353969154,406861.3211,Southern
46,14,240,Webb,Laredo,240,48479,240,22,Y,Y,Y,,,,,,11203043899,557824.5843,Southern
47,15,4,Aransas,Corpus Christi,4,48007,4,16,Y,N,N,,,,,,947609795.1,682748.2246,Southern
48,16,196,Refugio,Corpus Christi,196,48391,196,16,N,N,N,,,,,,2614001751,390663.8756,Southern
49,17,64,Dimmit,Laredo,64,48127,64,22,N,N,N,,,,,,4431714908,271794.7543,Southern
50,18,142,La Salle,Laredo,142,48283,142,22,N,N,N,,,,,,5053506122,285674.4065,Southern
51,19,162,McMullen,San Antonio,156,48311,162,15,N,N,N,,,,,,3908922583,253844.9643,Southern
52,20,13,Bee,Corpus Christi,13,48025,13,16,N,N,N,,,,,,2958633941,264032.0191,Southern
53,21,29,Calhoun,Yoakum,29,48057,29,13,Y,Y,N,,,,,,1829247555,1089353.679,Coast
54,22,149,Live Oak,Corpus Christi,149,48297,149,16,N,N,N,,,,,,3621113030,276214.1046,Southern
55,23,88,Goliad,Corpus Christi,88,48175,89,16,Y,N,N,,,,,,2901369503,256877.4532,Southern
56,24,159,Maverick,Laredo,162,48323,159,22,N,N,N,,,,,,4367132970,344647.101,Southern
57,25,254,Zavala,Laredo,254,48507,254,22,N,N,N,,,,,,4395612847,268718.1638,Southern
58,26,82,Frio,San Antonio,82,48163,83,15,N,N,N,,,,,,3828290552,248546.962,Southern
59,27,235,Victoria,Yoakum,235,48469,235,13,Y,Y,Y,,,,,,3005480968,328188.812,Coast
60,28,128,Karnes,Corpus Christi,128,48255,129,16,N,N,N,,,,,,2547946894,232703.48,South Central
1,29,7,Atascosa,San Antonio,7,48013,7,15,Y,Y,Y,,,,,,4129397559,269428.5314,Southern
2,30,158,Matagorda,Yoakum,161,48321,158,13,N,N,N,,,,,,3860227925,1025026.152,Coast
3,31,120,Jackson,Yoakum,120,48239,121,13,N,Y,Y,,,,,,2886816700,356140.3796,Coast
4,32,62,De Witt,Yoakum,62,48123,62,13,N,N,N,,,,,,3097944666,243904.3877,South Central
5,33,247,Wilson,San Antonio,247,48493,247,15,Y,Y,Y,,,,,,2755010609,226152.2317,South Central
6,34,136,Kinney,Laredo,136,48271,136,22,N,N,N,,,,,,4666311024,287623.181,West
7,35,232,Uvalde,San Antonio,232,48463,232,15,N,N,N,,,,,,5353345956,293254.5017,West
8,36,143,Lavaca,Yoakum,143,48285,143,13,N,N,N,,,,,,3324197352,228583.9029,South Central
9,37,20,Brazoria,Houston,20,48039,20,12,Y,Y,Y,,,,,,4866969061,997341.2688,Coast
10,38,241,Wharton,Yoakum,241,48481,241,13,N,N,N,,,,,,3738449441,291067.6967,Coast
11,39,163,Medina,San Antonio,163,48325,163,15,Y,Y,Y,,,,,,4583274777,299528.3624,South Central
12,40,84,Galveston,Houston,84,48167,85,12,Y,Y,Y,,,,,,1369014146,1078445.392,Coast
13,41,15,Bexar,San Antonio,15,48029,15,15,Y,Y,Y,,,,,,4309667304,326284.9959,South Central
14,42,89,Gonzales,Yoakum,89,48177,90,13,N,Y,Y,,,,,,3669417365,253256.4106,South Central
15,43,79,Fort Bend,Houston,79,48157,80,12,Y,Y,Y,,,,,,3040344917,296139.8288,Coast
16,44,94,Guadalupe,San Antonio,94,48187,95,15,Y,Y,Y,,,,,,2459009098,282133.8296,South Central
17,45,10,Bandera,San Antonio,10,48019,10,15,Y,Y,Y,,,,,,2750063708,245312.4604,South Central
18,46,45,Colorado,Yoakum,45,48089,45,13,N,N,N,,,,,,3349390120,281337.1831,South Central
19,47,36,Chambers,Beaumont,36,48071,36,20,Y,Y,Y,,,,,,2178978003,470641.8285,Coast
20,48,46,Comal,San Antonio,46,48091,46,15,Y,Y,Y,,,,,,1985145385,230074.9416,South Central
21,49,193,Real,San Angelo,193,48385,193,7,N,N,N,,,,,,2417092203,222651.9297,West
22,50,28,Caldwell,Austin,28,48055,28,14,Y,Y,Y,,,,,,1887963999,221456.0062,South Central
23,51,130,Kendall,San Antonio,130,48259,131,15,Y,N,N,,,,,,2294841244,191314.8447,South Central
24,52,8,Austin,Yoakum,8,48015,8,13,Y,Y,Y,,,,,,2268677801,293091.9209,South Central
25,53,75,Fayette,Yoakum,75,48149,76,13,N,N,N,,,,,,3316479618,241232.8812,South Central
26,54,101,Harris,Houston,101,48201,102,12,Y,Y,Y,,,,,,6041367287,920579.5158,Coast
27,55,69,Edwards,San Angelo,69,48137,70,7,N,N,N,,,,,,7345456457,397493.2099,West
28,56,133,Kerr,San Antonio,133,48265,133,15,N,N,N,,,,,,3841344091,304579.6134,West
29,57,233,Val Verde,Laredo,233,48465,233,22,N,N,N,,,,,,11177468154,531072.5339,West
30,58,237,Waller,Houston,237,48473,237,12,Y,Y,Y,,,,,,1794914854,291622.7975,Coast
31,59,123,Jefferson,Beaumont,123,48245,124,20,Y,Y,Y,,,,,,3310644887,615909.0755,x
32,60,105,Hays,Austin,105,48209,106,14,Y,Y,Y,,,,,,2354128851,216452.1185,South Central
96,61,181,Orange,Beaumont,181,48361,181,20,Y,Y,Y,,,,,,1268461497,219261.7637,x
97,62,11,Bastrop,Austin,11,48021,11,14,Y,Y,Y,,,,,,3108788218,220230.4951,South Central
98,63,239,Washington,Bryan,239,48477,239,17,N,N,N,,,,,,2161690737,300186.5118,South Central
99,64,86,Gillespie,Austin,86,48171,87,14,N,N,N,,,,,,3701258796,252208.199,West
100,65,16,Blanco,Austin,16,48031,16,14,N,N,N,,,,,,2486558873,204324.337,South Central
101,66,144,Lee,Austin,144,48287,144,14,N,N,N,,,,,,2210552658,262195.9454,South Central
102,67,146,Liberty,Beaumont,146,48291,146,20,Y,Y,Y,,,,,,4081337370,286352.5702,x
103,68,227,Travis,Austin,227,48453,227,14,Y,Y,Y,,,,,,3575026010,294352.5315,South Central
104,69,100,Hardin,Beaumont,100,48199,101,20,Y,Y,Y,,,,,,3130794340,320241.5246,x
105,70,222,Terrell,Odessa,222,48443,222,6,N,N,N,,,,,,8210232258,461088.8676,Far West
106,71,170,Montgomery,Houston,170,48339,170,12,Y,Y,Y,,,,,,3753938852,323383.9006,Coast
107,72,218,Sutton,San Angelo,218,48435,218,7,N,N,N,,,,,,5074953298,296299.5937,West
108,73,134,Kimble,San Angelo,134,48267,134,7,N,N,N,,,,,,4373951199,290280.6351,West
109,74,22,Brewster,El Paso,22,48043,22,24,N,N,N,,,,,,21376881087,722813.4499,Far West
110,75,189,Presidio,El Paso,189,48377,189,24,N,N,N,,,,,,13361600105,635231.2374,Far West
111,76,26,Burleson,Bryan,26,48051,26,17,Y,Y,Y,,,,,,2372143025,294023.6799,South Central
112,77,246,Williamson,Austin,246,48491,246,14,Y,Y,Y,,,,,,3988776752,293706.4068,South Central
113,78,93,Grimes,Bryan,93,48185,94,17,N,N,N,,,,,,2810090496,292122.1444,East
114,79,150,Llano,Austin,150,48299,150,14,N,N,N,,,,,,3396922490,273821.3307,West
115,80,157,Mason,Austin,160,48319,157,14,N,N,N,,,,,,3282361859,230404.4222,West
116,81,204,San Jacinto,Lufkin,204,48407,204,11,Y,Y,N,,,,,,2202546838,263747.9939,x
117,82,21,Brazos,Bryan,21,48041,21,17,Y,Y,Y,,,,,,2073141886,337649.4273,East
118,83,27,Burnet,Austin,27,48053,27,14,N,N,N,,,,,,3592346440,296848.0157,South Central
119,84,164,Menard,San Angelo,164,48327,164,7,N,N,N,,,,,,3183258948,238416.8763,West
120,85,207,Schleicher,San Angelo,207,48413,207,7,N,N,N,,,,,,4638027341,286122.1595,West
121,86,53,Crockett,San Angelo,53,48105,53,7,N,N,N,,,,,,9874638653,596800.3694,Far West
