station,lat,lon,CNTY_NM,zone
IAH,29.9844,-95.3607,Harris,COAST
MCJ,29.714,-95.395,Harris,COAST
ARM,29.2543,-96.1544,Wharton,COAST
BYY,28.9733,-95.8634,Matagorda,COAST
TME,29.805,-95.8979,Waller,COAST
AXH,29.5061,-95.4769,Fort Bend,COAST
T41,29.6692,-95.0641,Harris,COAST
PKV,28.654,-96.681,Calhoun,COAST
VCT,28.8614,-96.9303,Victoria,COAST
GLS,29.2653,-94.8604,Galveston,COAST
PSX,28.73,-96.25,Matagorda,COAST
HOU,29.6375,-95.2824,Harris,COAST
LVJ,29.5189,-95.2417,Brazoria,COAST
CXO,30.3524,-95.4145,Montgomery,COAST
DWH,30.068,-95.5562,Harris,COAST
LBX,29.1086,-95.4621,Brazoria,COAST
SGR,29.6223,-95.6565,Fort Bend,COAST
EFD,29.6073,-95.1587,Harris,COAST
OSA,33.0956,-94.9614,Titus,EAST
LHB,30.87,-96.62,Robertson,EAST
PSN,31.7797,-95.7063,Anderson,EAST
SLR,33.16,-95.62,Hopkins,EAST
DKR,31.307,-95.4038,Houston,EAST
F44,32.1638,-95.8284,Henderson,EAST
CFD,30.7157,-96.3314,Brazos,EAST
60R,30.3719,-96.1133,Grimes,EAST
LFK,31.234,-94.75,Angelina,EAST
CLL,30.5881,-96.3639,Brazos,EAST
TYR,32.3541,-95.4024,Smith,EAST
OCH,31.5778,-94.7094,Nacogdoches,EAST
RFI,32.1417,-94.8517,Rusk,EAST
JSO,31.87,-95.22,Cherokee,EAST
MAF,31.9466,-102.2075,Midland,FWEST
BPG,32.2126,-101.5216,Howard,FWEST
PEQ,31.38,-103.51,Reeves,FWEST
MDD,32.0365,-102.101,Midland,FWEST
OZA,30.7353,-101.203,Crockett,FWEST
E38,30.384,-103.684,Brewster,FWEST
E11,32.3311,-102.5295,Andrews,FWEST
PRS,29.6342,-104.3615,Presidio,FWEST
LUV,32.7563,-101.9202,Dawson,FWEST
E41,31.1989,-101.4725,Reagan,FWEST
VHN,31.0578,-104.7838,Culberson,FWEST
E01,31.5825,-102.909,Ward,FWEST
6R6,30.046,-102.2129,Terrell,FWEST
FST,30.9119,-102.9167,Pecos,FWEST
ODO,31.9206,-102.3867,Ector,FWEST
INK,31.78,-103.2,Winkler,FWEST
MRF,30.3682,-104.0175,Presidio,FWEST
GZN,32.3658,-99.0237,Eastland,NCENT
ACT,31.618,-97.2283,McLennan,NCENT
DFW,32.8968,-97.038,Tarrant,NCENT
GVT,33.0678,-96.0653,Hunt,NCENT
XBP,33.1753,-97.8284,Wise,NCENT
ETN,32.4135,-98.8098,Eastland,NCENT
LNC,32.5792,-96.719,Dallas,NCENT
GDJ,32.4444,-97.8169,Hood,NCENT
CPT,32.3537,-97.4338,Johnson,NCENT
GPM,32.6988,-97.0469,Tarrant,NCENT
INJ,32.0836,-97.0972,Hill,NCENT
JWY,32.4561,-96.9125,Ellis,NCENT
LUD,33.2542,-97.5805,Wise,NCENT
MKN,31.92,-98.6,Comanche,NCENT
MNZ,31.6659,-98.1486,Hamilton,NCENT
BKD,32.719,-98.891,Stephens,NCENT
RPH,33.11,-98.555,Young,NCENT
GOP,31.4213,-97.797,Coryell,NCENT
SEP,32.2153,-98.1777,Erath,NCENT
BWD,31.7936,-98.9565,Brown,NCENT
F46,32.9306,-96.4355,Rockwall,NCENT
LXY,31.6412,-96.5145,Limestone,NCENT
6P9,32.4317,-98.5948,Eastland,NCENT
ADS,32.9686,-96.8364,Dallas,NCENT
HQZ,32.747,-96.5304,Dallas,NCENT
NFW,32.781,-97.4365,Tarrant,NCENT
GKY,32.6639,-97.0943,Tarrant,NCENT
DAL,32.8471,-96.8518,Dallas,NCENT
FTW,32.8198,-97.3624,Tarrant,NCENT
MWL,32.7816,-98.0602,Parker,NCENT
RBD,32.68,-96.87,Dallas,NCENT
CRS,32.03,-96.4,Navarro,NCENT
TKI,33.18,-96.59,Collin,NCENT
AFW,32.9716,-97.3179,Tarrant,NCENT
DTO,33.205,-97.2006,Denton,NCENT
TRL,32.71,-96.27,Kaufman,NCENT
CNW,31.6378,-97.0741,McLennan,NCENT
FWS,32.5651,-97.3084,Tarrant,NCENT
PWG,31.4849,-97.3165,McLennan,NCENT
SPS,33.9786,-98.4928,Wichita,NORTH
F05,34.2257,-99.2837,Wilbarger,NORTH
CWC,33.8578,-98.4904,Wichita,NORTH
0F2,33.6017,-97.7756,Montague,NORTH
F00,33.6131,-96.1793,Fannin,NORTH
GYI,33.7141,-96.6737,Grayson,NORTH
TPL,31.1525,-97.4078,Bell,NCENT
CDS,34.4339,-100.2881,Childress,NORTH
GRK,31.07,-97.83,Bell,NCENT
HLR,31.1387,-97.7145,Bell,NCENT
PRX,33.6366,-95.4507,Lamar,NORTH
ILE,31.0858,-97.6865,Bell,NCENT
SHP,33.9667,-98.4833,Wichita,NORTH
