\outl0\strokewidth0 \strokec2 stid,station_name,lat,lon,elev,begints,endts,iem_network\
0F2,Bowie,33.6017,-97.7756,335.6,4/15/09 0:00,,TX_ASOS\
11R,BRENHAM_MUNICIPAL_APT,30.2189,-96.3742,94,6/9/00 0:00,,TX_ASOS\
18H,Lucius,26.1283,-92.0333,30,9/20/23 0:00,,TX_ASOS\
25T,PHI OIL PLAT,26.93,-94.68,10,2/17/05 0:00,9/27/10 0:00,TX_ASOS\
2F5,Lamesa,32.7479,-101.9018,902.6335,9/29/17 0:00,8/22/18 0:00,TX_ASOS\
2R9,Kenedy,28.825,-97.8656,87.85377,7/23/19 0:00,,TX_ASOS\
3T5,LA GRANGE/FAYETTE REGIONAL,29.91,-96.95,99,11/13/01 0:00,,TX_ASOS\
4F2,Carthage,32.176,-94.2988,75.229965,9/20/19 0:00,,TX_ASOS\
5C1,San Antonio,29.7239,-98.6946,422.1,5/11/10 0:00,,TX_ASOS\
5R3,Lago Vista - Rusty Allen,30.4986,-97.97,373,2/23/08 0:00,4/10/08 0:00,TX_ASOS\
5T9,Maverick County,28.8571,-100.5135,267.38416,10/14/14 0:00,,TX_ASOS\
60R,Navasota,30.3719,-96.1133,68,6/21/23 0:00,,TX_ASOS\
66R,Columbus,29.6411,-96.5158,74.3404,10/2/14 0:00,,TX_ASOS\
6P9,Ranger,32.4317,-98.5948,455.30667,12/25/16 0:00,,TX_ASOS\
6R3,Cleveland,30.3564,-95.008,45.7,10/20/09 0:00,,TX_ASOS\
6R6,DRYDEN,30.046,-102.2129,702,7/1/99 0:00,,TX_ASOS\
81R,San Saba,31.2352,-98.717,378.99094,12/16/20 0:00,,TX_ASOS\
8T6,George West / Live Oak,28.3628,-98.1165,37,2/24/22 0:00,,TX_ASOS\
ABI,Abilene,32.4106,-99.6821,544.9975,8/11/30 0:00,,TX_ASOS\
ACT,Waco,31.618,-97.2283,155,3/11/29 0:00,,TX_ASOS\
ADS,DALLAS/ADDISON ARPT,32.9686,-96.8364,196,1/31/74 0:00,,TX_ASOS\
AFW,Fort Worth - Alliance,32.9716,-97.3179,204.81914,1/8/91 0:00,,TX_ASOS\
ALI,ALICE INTL AIRPORT,27.7409,-98.0269,54,8/1/46 0:00,,TX_ASOS\
AMA,Amarillo - Rick Husband Intl,35.2194,-101.7059,1099,1/1/32 0:00,,TX_ASOS\
APY,Zapata,26.9688,-99.2489,128.6,6/20/08 0:00,,TX_ASOS\
AQO,LLANO_MUNI_ARPT,30.7836,-98.6619,336,6/19/04 0:00,,TX_ASOS\
ARM,WHARTON REGIONAL ARPT,29.2543,-96.1544,30,11/4/04 0:00,,TX_ASOS\
ASL,Marshall,32.5205,-94.3078,108.8,5/18/11 0:00,,TX_ASOS\
ATA,Atlanta,33.1018,-94.1953,81,7/11/18 0:00,,TX_ASOS\
ATT,Austin - City/Camp Mabry,30.3208,-97.7604,203,4/1/38 0:00,,TX_ASOS\
AUS,Austin Bergstrom Intl,30.183,-97.6799,146,4/28/98 0:00,,TX_ASOS\
AXH,Houston SW,29.5061,-95.4769,20.7,5/12/09 0:00,,TX_ASOS\
BAZ,NEW BRAUNFELS MUNI APT (WAS 3R5),29.709,-98.045,195,11/1/98 0:00,,TX_ASOS\
BBD,Brady,31.1793,-99.3239,557,8/31/05 0:00,,TX_ASOS\
BBF,Brazos 133,27.833,-96.014,0,5/4/10 0:00,7/25/20 0:00,TX_ASOS\
BEA,Beeville,28.3619,-97.791,81.7,1/27/07 0:00,,TX_ASOS\
BGD,BORGER/HUTCHINSON,35.7009,-101.3937,931,7/1/96 0:00,,TX_ASOS\
BIF,Fort Bliss,31.8495,-106.38,1203,1/1/49 0:00,,TX_ASOS\
BKD,Breckenridge,32.719,-98.891,391.4,2/12/08 0:00,,TX_ASOS\
BKS,FALFURRIAS/BROOKS COUNTY AIRPORT,27.2067,-98.1211,34,1/24/03 0:00,,TX_ASOS\
BMQ,BURNET MUNICIPAL/KATE CRADDOCK,30.7389,-98.2386,389,10/1/96 0:00,,TX_ASOS\
BMT,Beaumont,30.0702,-94.2151,9.8,3/10/11 0:00,,TX_ASOS\
BPC,Pampa,35.8893,-101.0301,845,3/17/09 0:00,,TX_ASOS\
BPG,BIG_SPRING,32.2126,-101.5216,784,3/24/03 0:00,,TX_ASOS\
BPT,Beaumont - Port Arthur,29.9521,-94.0261,4.5784636,3/4/44 0:00,,TX_ASOS\
BQX,Brazos 451,28.4936,-95.7244,0,5/13/10 0:00,,TX_ASOS\
BRO,BROWNSVILLE INTL,25.9146,-97.4231,6,1/1/47 0:00,,TX_ASOS\
BSM,Austin - Bergstrom AFB (BSM),30.1945,-97.6699,148.70668,10/17/42 0:00,,TX_ASOS\
BWD,BROWNWOOD MUNICIPAL,31.7936,-98.9565,422,9/1/44 0:00,,TX_ASOS\
BYY,Bay City Regional,28.9732,-95.8634,13,11/11/02 0:00,,TX_ASOS\
CDS,CHILDRESS MUNICIPAL,34.4339,-100.2881,595,1/1/33 0:00,,TX_ASOS\
CFD,Brazos,30.7157,-96.3314,102.43148,5/2/13 0:00,,TX_ASOS\
CLL,COLLEGE STATION,30.5881,-96.3639,98,7/25/29 0:00,,TX_ASOS\
CNW,Waco,31.6378,-97.0741,143,1/1/49 0:00,,TX_ASOS\
COM,Coleman,31.8411,-99.4036,517.2,2/1/04 0:00,,TX_ASOS\
COT,COTULLA MUNICIPAL,28.4567,-99.2183,144,10/1/49 0:00,,TX_ASOS\
CPT,CLEBURNE,32.3538,-97.4338,260,6/19/04 0:00,,TX_ASOS\
CRH,West Cameron,28.9086,-93.3016,0,8/3/10 0:00,10/14/15 0:00,TX_ASOS\
CRP,CORPUS CHRISTI INTL,27.7731,-97.5128,13,4/1/37 0:00,,TX_ASOS\
CRS,CORSICANA,32.03,-96.4,137,6/1/97 0:00,,TX_ASOS\
CVB,Castroville,29.3419,-98.8509,235,6/9/08 0:00,,TX_ASOS\
CWC,Kickapoo,33.8578,-98.4904,304,4/20/07 0:00,,TX_ASOS\
CXO,CONROE/MONTGOMERY COUNTY AIRPORT,30.3524,-95.4145,75,1/1/97 0:00,,TX_ASOS\
CZT,Carrizo Springs,28.5222,-99.8236,178.27155,12/11/13 0:00,,TX_ASOS\
DAL,DALLAS/LOVE FIELD,32.8471,-96.8518,148,1/1/30 0:00,,TX_ASOS\
DFW,DALLAS/FT WORTH,32.8968,-97.038,182,5/1/53 0:00,,TX_ASOS\
DHT,DALHART MUNICIPAL,36.0226,-102.5473,1216,11/1/42 0:00,,TX_ASOS\
DKR,Crocket,31.307,-95.4038,106.1,5/24/05 0:00,,TX_ASOS\
DLF,LAUGHLIN AFB,29.3595,-100.778,330,2/17/43 0:00,,TX_ASOS\
DRT,DEL RIO INTL (AUT),29.3742,-100.9272,307,8/9/46 0:00,,TX_ASOS\
DTO,Denton,33.205,-97.2006,200.71758,7/1/96 0:00,,TX_ASOS\
DUX,DUMAS,35.858,-102.013,1129,6/8/04 0:00,,TX_ASOS\
DWH,HOUSTON/D.W. HOOKS,30.068,-95.5562,46,9/16/86 0:00,,TX_ASOS\
